user_id,age,tenure_months,monthly_charges,weekly_hours_watched,support_calls,churn
USER_1000,53,43,9.99,20.6,2,0
USER_1001,44,12,19.99,18.3,1,1
USER_1002,34,4,14.99,4.7,6,1
USER_1003,26,6,14.99,9.5,6,1
USER_1004,50,17,9.99,35.8,1,0
USER_1005,37,22,14.99,28.2,1,0
USER_1006,30,36,14.99,25.8,2,0
USER_1007,45,25,9.99,13.8,1,1
USER_1008,46,6,14.99,4.2,6,1
USER_1009,30,5,19.99,5.6,4,0
USER_1010,63,35,14.99,32.5,1,0
USER_1011,52,25,9.99,21.3,2,0
USER_1012,23,25,14.99,14.4,1,0
USER_1013,35,14,14.99,24.4,2,0
USER_1014,22,28,14.99,25.4,0,0
USER_1015,64,39,14.99,24.8,1,0
USER_1016,42,44,14.99,20.9,0,0
USER_1017,19,10,14.99,6.7,5,1
USER_1018,27,11,14.99,9.9,7,1
USER_1019,47,35,9.99,26.7,0,0
USER_1020,62,6,19.99,5.2,5,1
USER_1021,22,17,9.99,29.6,0,0
USER_1022,50,47,14.99,32.5,2,0
USER_1023,18,30,9.99,20.3,2,0
USER_1024,35,1,14.99,4.1,7,0
USER_1025,49,13,14.99,14.8,3,0
USER_1026,64,34,9.99,22.5,0,1
USER_1027,28,7,14.99,5.9,5,1
USER_1028,38,9,19.99,6.9,5,1
USER_1029,43,12,14.99,29.3,0,0
USER_1030,42,5,14.99,1.8,7,1
USER_1031,39,46,9.99,35.9,2,1
USER_1032,44,35,14.99,32.6,2,0
USER_1033,30,22,19.99,14.9,1,0
USER_1034,50,8,14.99,11.9,2,0
USER_1035,51,23,19.99,14.5,1,0
USER_1036,58,46,14.99,22.9,1,0
USER_1037,52,44,14.99,31.7,0,0
USER_1038,18,4,19.99,1.2,8,1
USER_1039,38,1,14.99,4.3,6,0
USER_1040,23,33,9.99,29.8,2,0
USER_1041,45,6,14.99,3.4,8,1
USER_1042,34,32,14.99,36.3,2,0
USER_1043,22,6,19.99,16.0,4,0
USER_1044,48,30,14.99,23.5,0,0
USER_1045,22,1,19.99,6.1,4,0
USER_1046,55,17,9.99,37.9,1,0
USER_1047,20,8,14.99,4.3,4,0
USER_1048,40,3,14.99,4.0,8,1
USER_1049,54,32,9.99,37.6,2,0
USER_1050,54,23,19.99,12.3,1,0
USER_1051,27,8,14.99,16.7,3,0
USER_1052,27,20,14.99,16.8,4,0
USER_1053,36,15,19.99,21.9,2,0
USER_1054,34,1,19.99,8.9,4,1
USER_1055,38,15,19.99,11.6,2,0
USER_1056,31,36,14.99,34.6,2,0
USER_1057,26,47,9.99,31.0,1,0
USER_1058,63,27,14.99,34.4,0,0
USER_1059,18,26,9.99,20.9,2,0
USER_1060,62,34,14.99,26.8,1,0
USER_1061,30,33,9.99,32.1,2,0
USER_1062,21,25,9.99,17.1,2,0
USER_1063,18,44,14.99,20.7,2,0
USER_1064,57,15,9.99,34.9,0,0
USER_1065,49,3,19.99,8.6,7,1
USER_1066,51,41,14.99,31.5,0,0
USER_1067,45,24,19.99,10.5,4,0
USER_1068,48,37,14.99,27.9,2,0
USER_1069,25,14,19.99,21.6,3,0
USER_1070,56,6,14.99,18.3,1,0
USER_1071,43,36,14.99,28.0,1,0
USER_1072,51,27,9.99,31.9,0,1
USER_1073,20,10,19.99,16.2,4,0
USER_1074,29,10,19.99,6.5,6,1
USER_1075,18,9,19.99,4.2,8,1
USER_1076,61,20,9.99,14.1,4,0
USER_1077,22,16,14.99,20.7,1,0
USER_1078,47,32,14.99,28.5,1,0
USER_1079,47,41,14.99,28.5,0,0
USER_1080,34,27,14.99,17.8,2,1
USER_1081,64,10,19.99,6.7,5,1
USER_1082,40,12,14.99,31.3,1,0
USER_1083,32,27,14.99,29.7,0,0
USER_1084,54,39,14.99,21.3,2,1
USER_1085,38,35,14.99,30.5,2,0
USER_1086,31,1,19.99,7.1,6,1
USER_1087,19,5,14.99,5.1,6,1
USER_1088,28,13,9.99,17.5,1,0
USER_1089,56,2,14.99,9.1,7,0
USER_1090,55,34,9.99,20.7,1,0
USER_1091,51,10,19.99,1.6,8,1
USER_1092,55,14,19.99,10.3,2,1
USER_1093,51,2,14.99,5.5,5,1
USER_1094,35,26,9.99,17.5,1,1
USER_1095,47,5,19.99,9.7,7,1
USER_1096,32,3,14.99,7.8,6,1
USER_1097,44,7,14.99,4.7,5,1
USER_1098,51,43,14.99,30.4,2,0
USER_1099,55,24,9.99,35.5,0,0
