city,state,lat,lon,avg_age,avg_monthly_salary,nightlife_spots,traffic_index,cleanliness_score,happiness_score
New York,NY,40.7128,-74.006,39.5,7476.68,81,7.0,8.6,7.6
Los Angeles,CA,34.0522,-118.2437,36.3,6742.43,100,7.7,8.1,8.2
Chicago,IL,41.8781,-87.6298,40.2,6596.77,91,6.2,8.9,9.3
Houston,TX,29.7604,-95.3698,44.6,7888.51,80,6.9,9.6,9.3
Phoenix,AZ,33.4484,-112.074,35.8,8001.9,112,8.1,6.9,7.1
Philadelphia,PA,39.9526,-75.1652,35.8,7912.15,120,7.1,7.6,8.2
San Antonio,TX,29.4241,-98.4936,44.9,6591.7,112,10.0,7.2,7.4
San Diego,CA,32.7157,-117.1611,40.8,6945.71,99,7.9,8.1,7.4
Dallas,TX,32.7767,-96.797,34.7,7339.14,117,6.5,8.8,9.0
San Jose,CA,37.3382,-121.8863,39.7,8068.99,104,8.3,10.0,9.2
Austin,TX,30.2672,-97.7431,34.7,6609.74,81,5.5,8.6,7.8
Jacksonville,FL,30.3322,-81.6557,34.7,6873.91,111,8.6,8.5,7.7
Fort Worth,TX,32.7555,-97.3308,38.2,6150.3,99,8.7,7.7,5.4
Columbus,OH,39.9612,-82.9988,27.4,5745.41,160,8.3,7.3,6.9
Indianapolis,IN,39.7684,-86.1581,28.4,7583.27,128,9.4,7.3,7.5
Charlotte,NC,35.2271,-80.8431,34.2,8246.62,124,8.6,9.1,8.1
San Francisco,CA,37.7749,-122.4194,31.9,6892.19,118,8.9,6.5,7.9
Seattle,WA,47.6062,-122.3321,38.6,8061.18,90,9.3,7.7,6.9
Denver,CO,39.7392,-104.9903,32.5,7300.47,136,8.2,7.3,7.7
Washington,DC,38.9072,-77.0369,29.9,6316.39,131,7.5,7.3,7.7
Nashville,TN,36.1627,-86.7816,44.3,7654.26,103,6.4,10.0,9.9
Oklahoma City,OK,35.4676,-97.5164,35.9,8461.23,103,6.5,7.2,7.8
El Paso,TX,31.7619,-106.485,37.3,7086.76,127,8.1,8.3,8.7
Boston,MA,42.3601,-71.0589,29.9,8305.18,110,8.1,6.9,8.0
Portland,OR,45.5152,-122.6784,34.3,4671.23,109,8.0,5.5,5.4
Las Vegas,NV,36.1699,-115.1398,37.6,7867.71,142,9.7,8.8,8.6
Memphis,TN,35.1495,-90.049,31.2,7014.34,106,7.5,7.8,7.9
Detroit,MI,42.3314,-83.0458,38.9,6897.89,92,8.8,6.2,6.4
Baltimore,MD,39.2904,-76.6122,34.0,7102.58,115,7.5,7.1,7.8
Milwaukee,WI,43.0389,-87.9065,35.5,5276.19,93,10.0,6.4,5.5
Albuquerque,NM,35.0844,-106.6504,34.0,6822.3,89,7.7,6.8,7.2
Tucson,AZ,32.2226,-110.9747,46.3,7710.4,88,5.9,9.0,9.2
Fresno,CA,36.7468,-119.7726,36.9,8437.1,98,6.0,9.3,10.0
Sacramento,CA,38.5816,-121.4944,31.7,6484.56,123,8.7,6.4,6.3
Mesa,AZ,33.4152,-111.8315,41.1,6505.36,79,6.4,9.9,9.4
Atlanta,GA,33.749,-84.388,30.9,6475.42,141,9.6,7.4,6.2
Kansas City,MO,39.0997,-94.5786,38.0,7963.86,97,7.8,6.3,7.5
Colorado Springs,CO,38.8339,-104.8214,27.2,7111.88,126,8.1,7.8,8.2
Miami,FL,25.7617,-80.1918,30.4,6435.22,131,7.4,6.7,7.6
Raleigh,NC,35.7796,-78.6382,38.0,7601.94,88,5.1,9.8,9.0
Omaha,NE,41.2565,-95.9345,40.7,7308.37,102,6.9,7.4,7.9
Long Beach,CA,33.7701,-118.1937,37.9,8008.78,129,9.3,7.8,7.8
Virginia Beach,VA,36.8529,-75.978,36.4,6460.15,80,6.9,8.0,7.3
Oakland,CA,37.8044,-122.2712,35.5,6770.1,111,6.2,8.8,9.0
Minneapolis,MN,44.9778,-93.265,29.6,6535.1,126,8.4,5.9,7.1
Tulsa,OK,36.1539,-95.9928,33.4,5684.84,119,8.4,6.2,6.2
Tampa,FL,27.9506,-82.4572,34.7,7307.51,95,6.1,7.9,8.8
Arlington,TX,32.7357,-97.1081,42.3,7503.95,76,6.7,7.7,8.1
New Orleans,LA,29.9511,-90.0715,38.7,7165.6,110,7.7,9.6,8.9
Wichita,KS,37.6872,-97.3301,28.2,6634.87,130,7.0,8.0,8.5
